carrier_name,total_flights,delayed_flights,percentage_delayed
Southwest Airlines Co.,107708,10321,9.582389423255469
Hawaiian Airlines Inc.,7015,688,9.807555238774055
Delta Air Lines Inc.,79928,8459,10.583274947452708
Endeavor Air Inc.,22955,2515,10.956218688738836
Republic Airline,28826,3428,11.892041906612086
United Air Lines Inc.,48019,6235,12.984443657718819
Spirit Air Lines,17333,2334,13.465643570068655
Frontier Airlines Inc.,12312,1795,14.579272254710851
JetBlue Airways,24621,3675,14.926282441817959
American Airlines Inc.,75472,11348,15.036039855840578
