carrier_name,total_flights,delayed_flights,percentage_delayed
PSA Airlines Inc.,23999,5166,21.525896912371348
Alaska Airlines Inc.,20783,4393,21.13746812298513
Allegiant Air,7663,1538,20.070468484927574
Envoy Air,25284,4979,19.692295522860306
Mesa Airlines Inc.,17473,3118,17.84467464087449
ExpressJet Airlines Inc.,10376,1601,15.429838087895142
SkyWest Airlines Inc.,69501,10692,15.383951310053092
American Airlines Inc.,75472,11348,15.036039855840578
JetBlue Airways,24621,3675,14.926282441817959
Frontier Airlines Inc.,12312,1795,14.579272254710851
