airport_name,total_flights,delayed_flights,percentage_delayed
"Pago Pago, TT: Pago Pago International",9,4,44.44444444444444
"Kodiak, AK: Kodiak Airport",50,18,36
"Riverton/Lander, WY: Riverton Regional",50,17,34
"Sitka, AK: Sitka Rocky Gutierrez",81,27,33.33333333333333
"North Bend/Coos Bay, OR: Southwest Oregon Regional",21,7,33.33333333333333
"Aspen, CO: Aspen Pitkin County Sardy Field",860,269,31.279069767441857
"Ogdensburg, NY: Ogdensburg International",49,15,30.612244897959183
"Meridian, MS: Key Field",60,18,30
"Dubuque, IA: Dubuque Regional",86,25,29.069767441860467
"Phoenix, AZ: Phoenix - Mesa Gateway",487,141,28.952772073921974
"Muskegon, MI: Muskegon County",52,15,28.846153846153843
"Moab, UT: Canyonlands Field",28,8,28.57142857142857
"Akron, OH: Akron-Canton Regional",481,137,28.482328482328484
"Everett, WA: Snohomish County",151,42,27.81456953642384
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",109,29,26.605504587155966
"Ponce, PR: Mercedita",64,17,26.5625
"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",83,22,26.506024096385545
"Wrangell, AK: Wrangell Airport",57,15,26.31578947368421
"Columbia, MO: Columbia Regional",146,38,26.027397260273972
"Petersburg, AK: Petersburg James A Johnson",58,15,25.862068965517242
"Marquette, MI: Sawyer International",89,23,25.842696629213485
"Champaign/Urbana, IL: University of Illinois/Willard",226,58,25.663716814159294
"Aberdeen, SD: Aberdeen Regional",60,15,25
"Toledo, OH: Toledo Express",117,29,24.786324786324787
"Hibbing, MN: Range Regional",53,13,24.528301886792452
"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",196,48,24.489795918367346
"Waterloo, IA: Waterloo Regional",58,14,24.137931034482758
"Joplin, MO: Joplin Regional",104,25,24.03846153846154
"Fayetteville, NC: Fayetteville Regional/Grannis Field",346,83,23.98843930635838
"Bangor, ME: Bangor International",163,39,23.92638036809816
"Manhattan/Ft. Riley, KS: Manhattan Regional",136,32,23.52941176470588
"Mobile, AL: Mobile Downtown",13,3,23.076923076923077
